id,jobs,total_ops,machines,makespan,status,gantt_png
1,20,101,5,192,FEASIBLE,gantt_mess\gantt_001_ms192.png
2,20,94,5,178,FEASIBLE,gantt_mess\gantt_002_ms178.png
3,20,101,5,206,FEASIBLE,gantt_mess\gantt_003_ms206.png
4,20,99,5,196,FEASIBLE,gantt_mess\gantt_004_ms196.png
5,20,104,5,216,FEASIBLE,gantt_mess\gantt_005_ms216.png
6,20,101,5,211,FEASIBLE,gantt_mess\gantt_006_ms211.png
7,20,108,5,217,FEASIBLE,gantt_mess\gantt_007_ms217.png
8,20,104,5,199,FEASIBLE,gantt_mess\gantt_008_ms199.png
9,20,102,5,220,FEASIBLE,gantt_mess\gantt_009_ms220.png
10,20,102,5,200,FEASIBLE,gantt_mess\gantt_010_ms200.png
11,20,95,5,181,FEASIBLE,gantt_mess\gantt_011_ms181.png
12,20,104,5,232,FEASIBLE,gantt_mess\gantt_012_ms232.png
13,20,104,5,219,FEASIBLE,gantt_mess\gantt_013_ms219.png
14,20,104,5,221,FEASIBLE,gantt_mess\gantt_014_ms221.png
15,20,98,5,198,FEASIBLE,gantt_mess\gantt_015_ms198.png
16,20,103,5,224,FEASIBLE,gantt_mess\gantt_016_ms224.png
17,20,112,5,216,FEASIBLE,gantt_mess\gantt_017_ms216.png
18,20,100,5,208,FEASIBLE,gantt_mess\gantt_018_ms208.png
19,20,100,5,193,FEASIBLE,gantt_mess\gantt_019_ms193.png
20,20,104,5,214,FEASIBLE,gantt_mess\gantt_020_ms214.png
21,20,102,5,204,FEASIBLE,gantt_mess\gantt_021_ms204.png
22,20,99,5,208,FEASIBLE,gantt_mess\gantt_022_ms208.png
23,20,96,5,188,FEASIBLE,gantt_mess\gantt_023_ms188.png
24,20,102,5,200,FEASIBLE,gantt_mess\gantt_024_ms200.png
25,20,95,5,186,FEASIBLE,gantt_mess\gantt_025_ms186.png
26,20,99,5,196,FEASIBLE,gantt_mess\gantt_026_ms196.png
27,20,100,5,193,FEASIBLE,gantt_mess\gantt_027_ms193.png
28,20,100,5,193,FEASIBLE,gantt_mess\gantt_028_ms193.png
29,20,102,5,199,FEASIBLE,gantt_mess\gantt_029_ms199.png
30,20,100,5,195,FEASIBLE,gantt_mess\gantt_030_ms195.png
